"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"C32041","Fields Corner T Stop","Year Round","Boston",15,260,816.797627973831,0.816797627973831,"Jupiter Beauty Academy",109.445327096755,0.109445327096755,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06068976, 42.29963349)
"C32043","Talbot Ave At Blue Hill Ave","Year Round","Boston",15,348,2830.98505863353,2.83098505863353,"Jupiter Beauty Academy",1758.15899214958,1.75815899214958,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.087111, 42.2945833)
"C32044","Blue Hill Ave at Almont St","Year Round","Boston",19,340,3293.08131697252,3.29308131697252,"Laboure College of Healthcare",796.740356986897,0.796740356986897,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09372552, 42.27462067)
"C32045","Mattapan T Stop","Year Round","Boston",15,336,3012.54305340015,3.01254305340015,"Laboure College of Healthcare",102.502155473789,0.102502155473789,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.093641, 42.267902)
"C32046","Roslindale Village - Washington St","Year Round","Boston",15,341,3418.5473198413,3.4185473198413,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1978.73298477932,1.97873298477932,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12820532, 42.28630716)
"C32047","Roslindale Village - South St","Year Round","Boston",15,337,3334.69329595289,3.33469329595289,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1888.07713511744,1.88807713511744,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.127754, 42.287072)
"C32048","Archdale Rd at Washington St","Year Round","Boston",15,339,2790.20261500195,2.79020261500195,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1069.64180607577,1.06964180607577,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12119539, 42.29266593)
"C32050","Mattapan Library","Year Round","Boston",15,353,3413.88842788397,3.41388842788397,"Laboure College of Healthcare",1099.95194574493,1.09995194574493,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09325, 42.2773889)
"C32051","Farragut Rd at E. 6th St","Year Round","Boston",23,296,2445.66976477339,2.44566976477339,"University of Massachusetts Boston",1146.63485570684,1.14663485570684,"88 Black Falcon Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.02495, 42.3334)
"C32052","Columbia Rd at Tierney Community Center","Year Round","Boston",19,362,1919.86040090924,1.91986040090924,"Boston University Chobanian & Avedisian School of Medicine",524.345672890312,0.524345672890312,"Andrew","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05060093, 42.33023071)
"C32053","Broadway T Stop","Year Round","Boston",19,366,867.751524003292,0.867751524003292,"Tufts University",87.9815710942929,0.0879815710942929,"Broadway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0580343, 42.34304858)
"C32055","Codman Square Library","Year Round","Boston",17,350,1971.04788021129,1.97104788021129,"Millennium Training Institute",740.77868436507,0.74077868436507,"Ashmont","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.071111, 42.2873611)
"C32056","Tremont St at Northampton St","Year Round","Boston",19,364,478.743575769501,0.478743575769501,"The New England Conservatory of Music",362.696186344958,0.362696186344958,"Massachusetts Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0816905, 42.3384318)
"C32057","Harrison Ave at Mullins Way","Year Round","Boston",19,363,524.030426254116,0.524030426254116,"Benjamin Franklin Cummings Institute of Technology",97.9349619997706,0.0979349619997706,"Herald Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06384031, 42.34521562)
"C32059","Belgrade Ave at Walworth St","Year Round","Boston",15,373,3467.99562486095,3.46799562486095,"Hellenic College-Holy Cross Greek Orthodox School of Theology",2450.91149135657,2.45091149135657,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1367213, 42.28634589)
"C32060","Tremont St at W. Dedham St","Year Round","Boston",15,379,509.544230916063,0.509544230916063,"Benjamin Franklin Cummings Institute of Technology",332.707959625225,0.332707959625225,"Union Park Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07421449, 42.34254914)
"C32061","Albany St at E. Brookline St","Year Round","Boston",15,385,290.819183100779,0.290819183100778,"Boston University Chobanian & Avedisian School of Medicine",456.157283127394,0.456157283127394,"West Newton Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0689446, 42.33664795)
"C32062","Ashmont T Stop","Year Round","Boston",15,271,1410.24787589474,1.41024787589474,"Millennium Training Institute",209.629381681535,0.209629381681535,"Ashmont","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0641389, 42.2856944)
"C32063","Mass Ave T Station","Year Round","Boston",16,404,252.718811567552,0.252718811567552,"The New England Conservatory of Music",32.1704850426689,0.0321704850426689,"Massachusetts Ave","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08336953, 42.34135616)
"C32064","Sydney St at Carson St","Year Round","Boston",19,405,1321.15655478784,1.32115655478784,"University of Massachusetts Boston",101.756135469163,0.101756135469163,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05355408, 42.32039374)
"C32066","Dorchester Ave at King St","Year Round","Boston",15,NA,1696.63174252041,1.69663174252041,"Jupiter Beauty Academy",309.320585919514,0.309320585919514,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.062571, 42.291718)
"C32077","Columbus Ave at W. Canton St","Year Round","Boston",19,417,540.395952033694,0.540395952033694,"Benjamin Franklin Cummings Institute of Technology",332.996334471811,0.332996334471811,"Back Bay","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07648162, 42.34474225)
"C32079","American Legion Hwy at Cummins Hwy","Year Round","Boston",15,422,4371.07979006789,4.37107979006789,"Hellenic College-Holy Cross Greek Orthodox School of Theology",2365.9004647736,2.3659004647736,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11687703, 42.27881158)
"C32085","Centre St at W. Roxbury Post Office","Year Round","Boston",19,432,3952.18970764185,3.95218970764185,"Hellenic College-Holy Cross Greek Orthodox School of Theology",3606.04634816616,3.60604634816616,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.15344755, 42.28633199)
"C32086","Centre St at Parkway YMCA","Year Round","Boston",19,433,4022.9561866544,4.0229561866544,"William James College",4070.50229354348,4.07050229354348,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.15728851, 42.28277901)
"C32087","Spring St at Powell St","Year Round","Boston",19,434,3818.28137819267,3.81828137819267,"William James College",4806.15765778979,4.80615765778979,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.16341468, 42.27748444)
"C32089","Hyde Park Ave at Walk Hill St","Year Round","Boston",15,442,2573.84079058393,2.57384079058393,"Hellenic College-Holy Cross Greek Orthodox School of Theology",544.091960808417,0.544091960808417,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.116012, 42.29606705)
"C32090","Geiger Gibson Community Health Center","Year Round","Boston",19,445,685.042379700437,0.685042379700437,"University of Massachusetts Boston",607.750499722803,0.607750499722803,"JFK/UMass","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04536798, 42.31886468)
"C32091","645 Summer St","Year Round","Boston",19,481,2070.87618942731,2.07087618942731,"Tufts University",533.03479432609,0.53303479432609,"Design Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03987017, 42.34178089)
"C32092","Blue Hill Ave at Havelock St","Year Round","Boston",18,490,3384.28547061928,3.38428547061928,"Millennium Training Institute",2060.95225051963,2.06095225051963,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.090986, 42.286012)
"C32093","Harrison Ave at E. Dedham St","Year Round","Boston",19,491,389.13403609196,0.38913403609196,"Boston University Chobanian & Avedisian School of Medicine",190.579578097922,0.190579578097922,"Union Park Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06975, 42.339194)
"C32094","2 Hummingbird Lane at Olmsted Green","Year Round","Boston",17,493,3709.34351225045,3.70934351225045,"Jupiter Beauty Academy",2059.64949515745,2.05964949515745,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.095003, 42.28887)
"C32099","Circuit Drive at American Legion Hwy","Year Round","Boston",19,538,3069.84905660306,3.06984905660306,"Jupiter Beauty Academy",1894.18361631799,1.89418361631799,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09171927, 42.29704126)
"C32102","Walnut Ave at School St","Year Round","Boston",19,539,1871.74843387709,1.87174843387709,"Roxbury Community College",860.728890333015,0.860728890333015,"Stony Brook","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09616905, 42.31242399)
"C32103","Morton St at Gallivan Blvd","Year Round","Boston",15,545,2359.39185184124,2.35939185184124,"Millennium Training Institute",1118.47787282369,1.11847787282369,"Central Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.080286, 42.278747)
"C32104","Cleary Sq","Year Round","Boston",16,546,5474.99163525163,5.47499163525163,"Laboure College of Healthcare",2942.42182247764,2.94242182247764,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12444, 42.2556)
"C32105","606 American Legion Hwy at Canterbury St","Year Round","Boston",18,547,3829.11592124935,3.82911592124935,"Hellenic College-Holy Cross Greek Orthodox School of Theology",1706.95469156864,1.70695469156864,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.109725, 42.28578)
"C32106","555 Metropolitan Ave","Year Round","Boston",18,548,5079.6384296669,5.0796384296669,"Laboure College of Healthcare",2200.2660538391,2.2002660538391,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11924, 42.2681)
"D32000","Cambridge St at Joy St","Year Round","Boston",15,6,530.125986440476,0.530125986440476,"Suffolk University",283.696726206819,0.283696726206819,"Bowdoin","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06528744, 42.36125722)
"D32001","New Balance - 20 Guest St","Year Round","Boston",15,37,1949.67939719365,1.94967939719365,"Saint John's Seminary",1105.40260851627,1.10540260851627,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1467354, 42.35732922)
"D32002","Washington St at Waltham St","Year Round","Boston",15,26,501.787142536919,0.501787142536919,"Benjamin Franklin Cummings Institute of Technology",29.9658856968186,0.0299658856968186,"Union Park Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0689044, 42.34157472)
"D32005","Copley Square - Dartmouth St at Boylston St","Year Round","Boston",33,36,658.912325901054,0.658912325901055,"Fisher College",47.9964977702818,0.0479964977702818,"Copley","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07739207, 42.34992828)
"D32006","Lewis Wharf at Atlantic Ave","Year Round","Boston",19,40,322.443626543083,0.322443626543084,"North Bennet Street School",491.939650221904,0.491939650221904,"Aquarium","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.050877, 42.363871)
"D32007","Boylston St at Arlington St","Year Round","Boston",31,42,211.553509094085,0.211553509094085,"Emerson College",246.259109930576,0.246259109930576,"Boylston","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.067585, 42.352808)
"D32008","Rowes Wharf at Atlantic Ave","Year Round","Boston",15,43,708.835651658466,0.708835651658466,"North Bennet Street School",282.936862323533,0.282936862323533,"Aquarium","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.050699, 42.357143)
"D32009","Congress St at Boston City Hall","Year Round","Boston",23,44,364.264729304031,0.364264729304031,"North Bennet Street School",181.601697204803,0.181601697204803,"State","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05752244, 42.36041775)
"D32010","Cross St at Hanover St","Year Round","Boston",19,47,124.7824096661,0.1247824096661,"North Bennet Street School",151.383449173299,0.151383449173299,"Haymarket","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.056067, 42.362811)
"D32011","Stuart St at Charles St","Year Round","Boston",18,49,35.3486875871965,0.0353486875871965,"New England Law Boston",243.16051049563,0.24316051049563,"Tufts Medical Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.066289, 42.351146)
"D32013","Boylston St at Berkeley St","Year Round","Boston",15,50,465.070745455846,0.465070745455846,"Fisher College",201.658453193422,0.201658453193422,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07329249, 42.35114198)
"D32014","Tremont St at West St","Year Round","Boston",15,54,66.1994284385726,0.0661994284385726,"Empire Beauty School",173.136526503798,0.173136526503798,"Park Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.063348, 42.354979)
"D32015","Chinatown Gate Plaza","Year Round","Boston",19,59,280.247575492116,0.280247575492116,"Tufts University",112.847590400341,0.112847590400341,"Chinatown Gate","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.059367, 42.351356)
"D32016","Charles Circle - Charles St at Cambridge St","Year Round","Boston",19,60,653.325177377079,0.653325177377079,"Fisher College",42.6114849259094,0.0426114849259094,"Charles/MGH","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07118962, 42.36079297)
"D32017","Mugar Way at Beacon St","Year Round","Boston",19,58,95.7344708823358,0.0957344708823358,"Fisher College",446.514311269485,0.446514311269485,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0728687, 42.35553628)
"D32018","Boston Convention and Exhibition Center - Summer St at West Side Dr","Year Round","Boston",23,65,1423.24752190009,1.42324752190009,"Tufts University",233.418034016872,0.233418034016872,"World Trade Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04535997, 42.34776345)
"D32019","Chinatown T Stop","Year Round","Boston",19,81,135.82428683123,0.13582428683123,"Urban College of Boston",10.8590265971059,0.0108590265971059,"Chinatown","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.062679, 42.352409)
"D32020","Main St at Austin St","Year Round","Boston",11,94,397.577933829344,0.397577933829344,"Bunker Hill Community College",507.038048335611,0.507038048335612,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.064608, 42.375603)
"D32021","Warren St at Chelsea St","Year Round","Boston",23,98,627.478441394258,0.627478441394258,"MGH Institute of Health Professions",745.910713229453,0.745910713229453,"North Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.060292, 42.371848)
"D32022","West End Park","Year Round","Boston",35,109,685.745824506671,0.685745824506671,"Hult International Business School",284.794841301029,0.284794841301029,"Science Park/West End","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06446669, 42.36590788)
"D32023","Spaulding Rehabilitation Hospital - Charlestown Navy Yard","Year Round","Boston",19,85,556.24667169419,0.55624667169419,"MGH Institute of Health Professions",1292.03779670084,1.29203779670084,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.048927, 42.378338)
"D32024","Beacon St at Charles St","Year Round","Boston",19,120,350.282086567285,0.350282086567285,"Fisher College",485.443672085574,0.485443672085574,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.069849, 42.356052)
"D32028","Brighton Center - Washington St at Cambridge St","Year Round","Boston",17,175,1140.76007917998,1.14076007917998,"Saint John's Seminary",825.17561547172,0.82517561547172,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.15027189, 42.34894857)
"D32029","Washington St at Brock St","Year Round","Boston",15,174,548.147963947634,0.548147963947634,"Saint John's Seminary",1085.65540450512,1.08565540450512,"South Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.16031677, 42.34895285)
"D32031","Oak Square - 615 Washington St","Year Round","Boston",15,208,760.299117449251,0.760299117449251,"Saint John's Seminary",1158.87936589168,1.15887936589168,"Boston College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.166491, 42.35057)
"D32032","Silber Way","Year Round","Boston",19,227,74.8093848070703,0.0748093848070703,"Boston University",54.0914561492636,0.0540914561492636,"Blandford Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10057592, 42.349496)
"D32033","Commonwealth Ave at Chiswick Rd","Year Round","Boston",19,344,987.203460865846,0.987203460865846,"Boston College",73.3101080996929,0.0733101080996929,"Chiswick Road","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.15168806, 42.34024645)
"D32034","Commonwealth Ave at Kelton St","Year Round","Boston",15,338,1166.20497413892,1.16620497413892,"Boston Graduate School of Psychoanalysis Inc",36.8007892806553,0.0368007892806553,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.13997217, 42.34835863)
"D32035","Harvard Ave at Brainerd Rd","Year Round","Boston",15,332,1174.32428829379,1.17432428829379,"Boston Graduate School of Psychoanalysis Inc",117.106141871272,0.117106141871272,"Harvard Avenue","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.13022771, 42.34953017)
"D32036","Main St at Baldwin St","Year Round","Boston",19,280,201.13257332648,0.20113257332648,"Cambridge College",643.682254406699,0.643682254406699,"Sullivan Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.070629, 42.380857)
"D32037","Medford St at Charlestown BCYF","Year Round","Boston",19,358,817.339066643258,0.817339066643258,"MGH Institute of Health Professions",1082.28344614218,1.08228344614218,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06055722, 42.38042947)
"D32038","Main St at Thompson Sq","Year Round","Boston",15,327,465.756566340516,0.465756566340516,"Bunker Hill Community College",545.001959189572,0.545001959189572,"Community College","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06383499, 42.37487847)
"D32039","Charlestown Navy Yard","Year Round","Boston",23,356,118.133812991424,0.118133812991424,"MGH Institute of Health Professions",1085.21886055475,1.08521886055475,"North Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.054812, 42.37412455)
"D32040","Williams St at Washington St","Year Round","Boston",23,279,2124.46278195046,2.12446278195046,"Hellenic College-Holy Cross Greek Orthodox School of Theology",374.963836248151,0.374963836248151,"Green Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.107669, 42.306539)
"D32041","Stony Brook T Stop","Year Round","Boston",19,282,1547.44062530312,1.54744062530312,"Roxbury Community College",31.2385710474433,0.0312385710474433,"Stony Brook","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.104374, 42.316966)
"D32042","Park Plaza at Charles St S.","Year Round","Boston",19,345,159.618935192091,0.15961893519209,"New England Law Boston",261.254185169622,0.261254185169622,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06781138, 42.35182807)
"D32043","Harrison Ave at Bennet St","Year Round","Boston",19,365,85.0048405920721,0.0850048405920721,"Tufts University",132.464330032826,0.132464330032826,"Tuffs Medical Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0620996, 42.3494261)
"D32045","Dartmouth St at Newbury St","Year Round","Boston",19,370,575.884226214893,0.575884226214893,"Fisher College",117.806220794973,0.117806220794973,"Copley","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07782811, 42.35096144)
"D32046","Boylston St at Exeter St","Year Round","Boston",19,372,532.925672590365,0.532925672590365,"Boston Architectural College",127.639070900419,0.127639070900419,"Copley","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07946779, 42.34958942)
"D32048","Shawmut Ave at Oak St W","Year Round","Boston",15,399,263.65275274314,0.26365275274314,"New England Law Boston",190.592478952093,0.190592478952093,"Tuffs Medical Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06559185, 42.34854543)
"D32049","Stuart St at Berkeley St","Year Round","Boston",19,415,437.210367172878,0.437210367172878,"Benjamin Franklin Cummings Institute of Technology",273.881590587969,0.273881590587969,"Arlington","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07242074, 42.34954403)
"D32052","Jamaica St at South St","Year Round","Boston",19,424,1653.78332794404,1.65378332794404,"Hellenic College-Holy Cross Greek Orthodox School of Theology",599.616549073544,0.599616549073544,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11570891, 42.30604563)
"D32053","Sullivan Square","Year Round","Boston",19,441,383.263422872703,0.383263422872703,"Cambridge College",147.453840414069,0.147453840414069,"Sullivan Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07514855, 42.38445226)
"D32054","The Overlook at St. Gabriel's","Year Round","Boston",19,447,1324.45129371978,1.32445129371977,"Boston Graduate School of Psychoanalysis Inc",382.991542721208,0.382991542721208,"Washington Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14549814, 42.34679008)
"D32057","Clinton St at North St","Year Round","Boston",18,536,245.335973402641,0.245335973402641,"North Bennet Street School",290.587501598677,0.290587501598677,"Haymarket","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05524927, 42.36070284)
"E32001","Curtis Hall - South St at Centre St","Year Round","Boston",15,124,1442.37916992566,1.44237916992566,"Hellenic College-Holy Cross Greek Orthodox School of Theology",613.327526578391,0.613327526578391,"Green Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.11543, 42.309054)
"E32003","Hyde Square - Barbara St at Centre St","Year Round","Boston",15,125,1441.22140534674,1.44122140534674,"Roxbury Community College",675.113075898888,0.675113075898888,"Stony Brook","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10984161, 42.32176526)
"E32004","Egleston Square - Atherton St at Washington St","Year Round","Boston",15,126,1529.07530838059,1.52907530838059,"Roxbury Community College",501.320745447132,0.501320745447132,"Stony Brook","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.098634, 42.315692)
"E32005","Green Street T Stop - Green St at Amory St","Year Round","Boston",23,133,1939.63835674396,1.93963835674396,"Hellenic College-Holy Cross Greek Orthodox School of Theology",95.9754175201324,0.0959754175201324,"Green Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.107341, 42.310579)
"E32006","Jackson Square T Stop","Year Round","Boston",18,131,798.425656668556,0.798425656668556,"Roxbury Community College",31.779279554972,0.031779279554972,"Jackson Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10014141, 42.32293117)
"E32007","S Huntington Ave at Heath St","Year Round","Boston",15,159,1047.11178004731,1.04711178004731,"Harvard University",93.3157195911615,0.0933157195911615,"Heath Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1108917, 42.32760387)
"E32009","Shawmut T Stop","Year Round","Boston",19,272,1670.45129388311,1.67045129388311,"Jupiter Beauty Academy",22.148895174815,0.022148895174815,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06575, 42.292917)
"E32010","Forest Hills","Year Round","Boston",40,273,2175.82713934333,2.17582713934333,"Hellenic College-Holy Cross Greek Orthodox School of Theology",17.5264233737625,0.0175264233737625,"Forest Hills","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.114249, 42.300923)
"E32011","The Dimock Center","Year Round","Boston",16,425,1107.69273318926,1.10769273318926,"Roxbury Community College",518.474606436118,0.518474606436118,"Jackson Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09639924, 42.31930943)
"E32012","Martha Eliot Health Center","Year Round","Boston",16,488,773.440064616323,0.773440064616323,"Roxbury Community College",200.457561060973,0.200457561060973,"Jackson Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10196, 42.324173)
"B32062","Forsyth St at Huntington Ave","Year Round","Boston",15,554,167.621470630934,0.167621470630934,"Northeastern University",117.849998894008,0.117849998894008,"Northeastern","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.090511, 42.339202)
"E32013","Hyde Park Library","Year Round","Boston",15,555,5303.60421775211,5.30360421775211,"Laboure College of Healthcare",2739.03561253668,2.73903561253668,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.122509, 42.2568376)
"E32014","Ross Playground","Year Round","Boston",19,556,4648.06793563222,4.64806793563222,"Laboure College of Healthcare",1842.94824090698,1.84294824090698,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1145523, 42.2645666)
"B32063","St. Alphonsus St at Tremont St","Year Round","Boston",18,558,264.622044421535,0.264622044421535,"Harvard University",248.374289615031,0.248374289615031,"Brigham Circle","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10124648, 42.33329255)
"B32064","Flat 9 at Whittier","Year Round","Boston",15,560,577.015031412943,0.577015031412943,"Northeastern University Professional Programs",303.613284636271,0.303613284636271,"Ruggles","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08767617, 42.33420351)
"C32107","Pier 4 Blvd at Autumn Ln","Year Round","Boston",19,561,1454.6401541487,1.4546401541487,"Tufts University",267.037621043785,0.267037621043785,"World Trade Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0446705, 42.3502102)
"D32059","Shawmut Ave at Lenox St","Year Round","Boston",19,568,653.667204342056,0.653667204342056,"Boston University Chobanian & Avedisian School of Medicine",148.957409579947,0.148957409579947,"Lenox St","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08038157, 42.33584613)
"D32060","Hood Park","Year Round","Boston",23,569,151.621175492107,0.151621175492107,"Cambridge College",570.452734327153,0.570452734327153,"Sullivan Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07304573, 42.38004535)
"A32056","Riverway at Brookline Ave","Year Round","Boston",25,594,501.009624474197,0.501009624474197,"Harvard University",383.355792765061,0.383355792765061,"Mission Park","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1100468, 42.33661006)
"D32061","Lenox St at Kendall St","Year Round","Boston",17,NA,490.511783509612,0.490511783509612,"The New England Conservatory of Music",412.499829348827,0.412499829348827,"Lenox St","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08255059, 42.33759485)
"A32032","Bremen St at Marion St","Year Round","Boston",11,214,913.276657569859,0.913276657569859,"East Boston Beauty Academy",210.430985927086,0.210430985927086,"Airport","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03276253, 42.37410622)
"A32057","Lewis Mall Wharf","Year Round","Boston",21,NA,1212.17466834202,1.21217466834202,"North Bennet Street School",373.267915039382,0.373267915039382,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04030132, 42.36567871)
"C32108","Beach St at Freeport St","Year Round","Boston",19,NA,349.255478067008,0.349255478067008,"Jupiter Beauty Academy",751.045401820859,0.751045401820859,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05425954, 42.30367409)
"C32110","Talbot Ave T Station","Year Round","Boston",19,NA,2355.0420467104,2.3550420467104,"Jupiter Beauty Academy",1003.33517291013,1.00333517291013,"Shawmut","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07797205, 42.29225148)
"C23109","Cedar Grove T Stop","Year Round","Boston",18,NA,759.604487446002,0.759604487446002,"Millennium Training Institute",10.9460967339815,0.0109460967339815,"Cedar Grove","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0602212, 42.2796076)
"C32111","Four Corners/Geneva T Stop","Year Round","Boston",15,NA,1813.42816020182,1.81342816020182,"Jupiter Beauty Academy",1386.22936615198,1.38622936615198,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.07820988, 42.30321535)
"Z32999","Cummins Highway at Blue Hill Ave T Stop","Year Round","Boston",14,NA,3379.43879932952,3.37943879932952,"Laboure College of Healthcare",491.629543808996,0.491629543808996,"Mattapan","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09746183, 42.26998847)
"Z32997","Parker St at Huntington Ave","Year Round","Boston",19,NA,281.602394661184,0.281602394661184,"Wentworth Institute of Technology",204.205743260169,0.204205743260169,"Museum Of Fine Arts","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09261138, 42.33848849)
