"Number","Name","Seasonal_Status","Municipality","Total_Docks","Station_ID","Distance_to_Nearest_College","Distance_to_Nearest_College_km","Nearest_College","Distance_to_Nearest_MBTA","Distance_to_Nearest_MBTA_km","Nearest_Station","County","2023POP","Largest Age Group","Age Group Percentage","geometry"
"A32026","Purchase St at Pearl St","Year Round","Boston",19,192,718.975988577325,0.718975988577324,"Suffolk University",282.017636910292,0.282017636910292,"South Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.053181, 42.354659)
"A32028","Bennington St at Byron St","Year Round","Boston",15,210,841.113898266339,0.841113898266339,"East Boston Beauty Academy",701.00336141933,0.70100336141933,"Wood Island","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.01619095, 42.38353252)
"A32030","Maverick Square - Lewis Mall","Year Round","Boston",33,212,1345.63182011882,1.34563182011882,"MGH Institute of Health Professions",23.2408267005133,0.0232408267005133,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03977829, 42.36884408)
"A32031","East Boston Neighborhood Health Center - 20 Maverick Square","Year Round","Boston",16,213,1333.84472351223,1.33384472351223,"MGH Institute of Health Professions",61.6054976702516,0.0616054976702516,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.039431, 42.369536)
"A32033","The Eddy - New St at Sumner St","Year Round","Boston",15,215,925.343941173559,0.925343941173559,"MGH Institute of Health Professions",426.660797933467,0.426660797933467,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.044201, 42.370744)
"A32035","Orient Heights T Stop - Bennington St at Saratoga St","Year Round","Boston",19,217,1745.12154298954,1.74512154298954,"East Boston Beauty Academy",107.113034996022,0.107113034996022,"Orient Heights","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.006098, 42.386781)
"A32036","Boston East - 126 Border St","Year Round","Boston",15,219,1075.01875055659,1.07501875055659,"MGH Institute of Health Professions",494.628923576612,0.494628923576612,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04102008, 42.37331213)
"A32039","Bennington St at Constitution Beach","Year Round","Boston",17,355,1334.57635049096,1.33457635049096,"East Boston Beauty Academy",511.826611990451,0.511826611990451,"Orient Heights","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.01063069, 42.38522394)
"A32040","Honan Library","Year Round","Boston",15,376,828.612235619947,0.828612235619947,"Harvard University",981.962397041298,0.981962397041298,"Packards Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.12852452, 42.3602737)
"A32041","Central Square East Boston","Year Round","Boston",15,419,1211.29879955103,1.21129879955103,"MGH Institute of Health Professions",718.622446310895,0.718622446310895,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03918549, 42.37544913)
"A32042","Surface Rd at Summer St","Year Round","Boston",27,426,538.411946531049,0.538411946531049,"Empire Beauty School",111.954384880077,0.111954384880077,"South Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05656401, 42.3529457)
"A32044","Maverick St at Massport Path","Year Round","Boston",15,436,1539.26890679313,1.53926890679313,"East Boston Beauty Academy",529.616666154615,0.529616666154615,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.03335975, 42.36774122)
"A32045","Boston Landing","Year Round","Boston",17,440,1899.27668683285,1.89927668683285,"Harvard University",890.428125390574,0.890428125390574,"Warren Street","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.14167538, 42.35656092)
"A32049","Gove St at Orleans St","Year Round","Boston",19,478,1363.85577955621,1.36385577955621,"East Boston Beauty Academy",372.456582900301,0.372456582900301,"Maverick","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0355854, 42.37057753)
"A32050","Porzio Park","Year Round","Boston",17,483,1818.48933403561,1.81848933403561,"East Boston Beauty Academy",629.175591896173,0.629175591896173,"Airport Terminal A","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.02876782, 42.36411904)
"A32051","Day Sq","Year Round","Boston",16,489,218.20619264104,0.21820619264104,"East Boston Beauty Academy",397.905317897143,0.397905317897143,"Wood Island","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.027733, 42.379295)
"A32052","Harvard Stadium: N. Harvard St at Soldiers Field Rd","Year Round","Boston",15,492,214.915657626526,0.214915657626526,"Harvard University",797.353708272509,0.797353708272509,"Harvard","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1242, 42.368019)
"A32053","Valenti Way at Haverhill St","Year Round","Boston",24,549,446.936490460855,0.446936490460855,"North Bennet Street School",68.8343952706287,0.0688343952706287,"North Station","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05934903, 42.36473899)
"B32002","Ruggles T Stop - Columbus Ave at Melnea Cass Blvd","Year Round","Boston",26,12,348.658604334723,0.348658604334723,"Northeastern University Professional Programs",148.510072925399,0.148510072925399,"Ruggles","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08798563, 42.33624445)
"B32003","HMS/HSPH - Avenue Louis Pasteur at Longwood Ave","Year Round","Boston",25,14,164.453126903915,0.164453126903915,"Massachusetts College of Pharmacy and Health Science",306.149305076264,0.306149305076264,"Longwood Medical Area","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10286117, 42.33741748)
"B32004","Aquarium T Stop - 200 Atlantic Ave","Year Round","Boston",23,20,430.823659982054,0.430823659982054,"North Bennet Street School",160.424015807952,0.160424015807952,"Aquarium","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0504394, 42.36044136)
"B32005","Christian Science Plaza - Massachusetts Ave at Westland Ave","Year Round","Boston",19,46,303.848036769041,0.303848036769041,"The New England Conservatory of Music",127.755342407049,0.127755342407049,"Symphony","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08582377, 42.34366582)
"B32006","Colleges of the Fenway - Fenway at Avenue Louis Pasteur","Year Round","Boston",15,3,106.200001753583,0.106200001753583,"Simmons University",450.37427739482,0.45037427739482,"Longwood Medical Area","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10061884, 42.34011512)
"B32007","Seaport Square - Seaport Blvd at Northern Ave","Year Round","Boston",23,24,1487.30331371052,1.48730331371052,"Tufts University",230.717313460932,0.230717313460932,"Courthouse","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04436085, 42.35148193)
"B32008","Boston City Hall - 28 State St","Year Round","Boston",25,23,288.485249433466,0.288485249433466,"Suffolk University",20.5879277865258,0.0205879277865259,"State","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.057629, 42.35892)
"B32010","Kenmore Square","Year Round","Boston",27,33,240.963143411746,0.240963143411746,"Boston University",136.97448084276,0.13697448084276,"Kenmore","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.097009, 42.348706)
"B32013","Brigham Circle - Francis St at Huntington Ave","Year Round","Boston",15,30,105.466510178483,0.105466510178483,"Harvard University",29.8810497705518,0.0298810497705518,"Brigham Circle","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10407918, 42.33462893)
"B32014","Seaport Hotel - Congress St at Seaport Ln","Year Round","Boston",19,31,1707.25875989171,1.70725875989171,"Tufts University",94.0105433677614,0.0940105433677614,"World Trade Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.04167744, 42.34881026)
"B32015","Landmark Center - Brookline Ave at Park Dr","Year Round","Boston",15,32,283.517317089239,0.283517317089239,"Emmanuel College",246.7588234364,0.2467588234364,"Fenway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10235287, 42.34369056)
"B32017","Dudley Square - Bolling Building","Year Round","Boston",18,56,260.511686920192,0.260511686920192,"Gordon-Conwell Theological Seminary",19.5889654468287,0.0195889654468287,"Nubian","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08386572, 42.32984299)
"B32018","Boylston St at Massachusetts Ave","Year Round","Boston",15,55,146.058742353038,0.146058742353038,"Boston Architectural College",77.4809980015163,0.0774809980015163,"Hynes Convention Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08678415, 42.34740621)
"B32020","Burlington Ave at Brookline Ave","Year Round","Boston",15,122,438.489887977621,0.438489887977621,"Boston University",327.65908802151,0.32765908802151,"Fenway","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.100694, 42.345733)
"B32021","Wentworth Institute of Technology - Huntington Ave at Vancouver St","Year Round","Boston",14,160,114.116232825039,0.114116232825039,"School of the Museum of Fine Arts",112.918118531321,0.112918118531321,"Museum Of Fine Arts","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09627098, 42.33758601)
"B32022","Roxbury YMCA - Warren St at MLK Blvd","Year Round","Boston",10,196,1087.9698330975,1.0879698330975,"Gordon-Conwell Theological Seminary",1319.77454997444,1.31977454997444,"Nubian","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.08243078, 42.31787329)
"B32023","MLK Blvd at Washington St","Year Round","Boston",15,197,936.893272937623,0.936893272937623,"Roxbury Community College",738.547917520574,0.738547917520574,"Jackson Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09126061, 42.32143814)
"B32026","Washington St at Melnea Cass Blvd","Year Round","Boston",19,200,587.677130307005,0.587677130307005,"Gordon-Conwell Theological Seminary",12.8238421114802,0.0128238421114802,"Melnea Cass Blvd","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.081198, 42.332817)
"B32027","NCAAA - Walnut Ave at Crawford St","Year Round","Boston",15,201,1404.32756336851,1.40432756336851,"Roxbury Community College",957.693535281354,0.957693535281354,"Jackson Square","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.091946, 42.316902)
"B32028","Grove Hall Library - 41 Geneva Ave","Year Round","Boston",15,202,2013.65506195619,2.01365506195619,"Jupiter Beauty Academy",1794.9941359542,1.7949941359542,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.080952, 42.30791)
"B32029","Columbia Rd at Ceylon St","Year Round","Boston",15,203,1391.63176605566,1.39163176605566,"Jupiter Beauty Academy",1395.43454501794,1.39543454501794,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0729, 42.309572)
"B32031","Bowdoin St at Quincy St","Year Round","Boston",15,205,724.570821428569,0.724570821428569,"Jupiter Beauty Academy",911.7206071582,0.9117206071582,"Fields Corner","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.06512249, 42.30785224)
"B32032","Government Center - Cambridge St at Court St","Year Round","Boston",35,206,237.695009647569,0.237695009647569,"Suffolk University",64.9969180546391,0.0649969180546391,"Government Center","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.05979576, 42.3598254)
"B32033","Huntington Ave at Mass Art","Year Round","Boston",15,331,24.9397111961677,0.0249397111961677,"Massachusetts College of Art and Design",75.2974317892025,0.0752974317892025,"Longwood Medical Area","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09886996, 42.33658555)
"B32034","Boylston St at Jersey St","Year Round","Boston",15,342,572.457836976123,0.572457836976123,"Emmanuel College",490.641053544252,0.490641053544252,"Kenmore","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.09732501, 42.34465063)
"B32035","Cleveland Circle","Year Round","Boston",15,346,1358.92403071339,1.35892403071339,"Boston College",127.603643258399,0.127603643258399,"Cleveland Circle","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.1506152, 42.33554308)
"B32036","One Brigham Circle","Year Round","Boston",15,359,186.208921776111,0.186208921776111,"Harvard University",94.3736949708862,0.0943736949708862,"Brigham Circle","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.10446509, 42.3339227)
"B32037","Deerfield St at Commonwealth Ave","Year Round","Boston",19,361,200.88474193143,0.20088474193143,"Boston University",165.908741374391,0.165908741374391,"Kenmore","SUFFOLK",653833,"20-29 year olds",0.22,c(-71.0972821, 42.34924377)
